
running 94 tests
test tests::complete_approximate ... ignored
test tests::complete_exact ... ignored
test tests::unbalanced_approximate ... ignored
test tests::unbalanced_exact ... ignored
test b::this::construction::u8::l2              ... bench:     332,638 ns/iter (+/- 3,651)
test b::this::construction::u8::l2_dup          ... bench:     252,488 ns/iter (+/- 3,683)
test b::this::construction::usize::l1           ... bench:      40,867 ns/iter (+/- 300)
test b::this::construction::usize::l1_dup       ... bench:      32,654 ns/iter (+/- 338)
test b::this::construction::usize::l2           ... bench:     478,249 ns/iter (+/- 28,625)
test b::this::construction::usize::l2_dup       ... bench:     407,511 ns/iter (+/- 27,254)
test b::this::search::u32::l1                   ... bench:         103 ns/iter (+/- 0)
test b::this::search::u32::l1_dup               ... bench:          90 ns/iter (+/- 0)
test b::this::search::u32::l2                   ... bench:         150 ns/iter (+/- 6)
test b::this::search::u32::l2_dup               ... bench:         146 ns/iter (+/- 1)
test b::this::search::u32::l3                   ... bench:         352 ns/iter (+/- 7)
test b::this::search::u32::l3_dup               ... bench:         352 ns/iter (+/- 3)
test b::this::search::u8::l1                    ... bench:          97 ns/iter (+/- 0)
test b::this::search::u8::l1_dup                ... bench:          85 ns/iter (+/- 0)
test b::this::search::u8::l2                    ... bench:         149 ns/iter (+/- 0)
test b::this::search::u8::l2_dup                ... bench:         141 ns/iter (+/- 1)
test b::this::search::u8::l3                    ... bench:         224 ns/iter (+/- 2)
test b::this::search::u8::l3_dup                ... bench:         197 ns/iter (+/- 3)
test b::this::search::usize::l1                 ... bench:         105 ns/iter (+/- 1)
test b::this::search::usize::l1_dup             ... bench:          91 ns/iter (+/- 0)
test b::this::search::usize::l2                 ... bench:         153 ns/iter (+/- 1)
test b::this::search::usize::l2_dup             ... bench:         148 ns/iter (+/- 2)
test b::this::search::usize::l3                 ... bench:         463 ns/iter (+/- 4)
test b::this::search::usize::l3_dup             ... bench:         467 ns/iter (+/- 6)

test result: ok. 0 passed; 0 failed; 4 ignored; 90 measured; 0 filtered out

